431.0241 	EXP 	text_pause: autoDraw = False
431.0241 	EXP 	hor_line_precue: autoDraw = True
431.0241 	EXP 	ver_line_precue: autoDraw = True
433.0261 	EXP 	hor_line_precue: autoDraw = False
433.0261 	EXP 	ver_line_precue: autoDraw = False
433.0261 	EXP 	hor_line_precue: autoDraw = False
433.0261 	EXP 	ver_line_precue: autoDraw = False
433.0261 	EXP 	image_mi: image = 'pics/right_foot.JPG'
433.0261 	EXP 	image_mi: autoDraw = True
437.5305 	EXP 	image_mi: autoDraw = False
437.5305 	EXP 	image_mi: autoDraw = False
437.5305 	EXP 	text_pause: autoDraw = True
440.0179 	EXP 	New trial (rep=0, index=3): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
440.0330 	EXP 	text_pause: autoDraw = False
440.0330 	EXP 	text_pause: autoDraw = False
440.0330 	EXP 	hor_line_precue: autoDraw = True
440.0330 	EXP 	ver_line_precue: autoDraw = True
442.0350 	EXP 	hor_line_precue: autoDraw = False
442.0350 	EXP 	ver_line_precue: autoDraw = False
442.0350 	EXP 	hor_line_precue: autoDraw = False
442.0350 	EXP 	ver_line_precue: autoDraw = False
442.0350 	EXP 	image_mi: image = 'pics/right_foot.JPG'
442.0350 	EXP 	image_mi: autoDraw = True
446.5395 	EXP 	image_mi: autoDraw = False
446.5395 	EXP 	image_mi: autoDraw = False
446.5395 	EXP 	text_pause: autoDraw = True
449.0268 	EXP 	New trial (rep=1, index=0): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
449.0420 	EXP 	text_pause: autoDraw = False
